Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
JNJ UN Equity,Johnson & Johnson,US,Health Care,102.72,104.44,-8057,14715,71554,133266,18562,14969,26.4957,69.2046,70517,-758,18.25,284220.447,22388,531,-17556
LPLA UW Equity,LPL Financial Holdings Inc,US,Financials,42.65,30.42,-95.568,190.517,945.397,3979.358,222.512,151.141,8.5237,#N/A N/A,4358.976,#N/A N/A,26.509,4051.5369,477.337,#N/A N/A,1437.669
MCD UN Equity,McDonald's Corp,US,Consumer Discretionary,118.14,123.78,-3237.2,4420.6,8309.8,32959.5,6663.5,4676.2,27.3625,38.0473,25643.9,#N/A N/A,21.175,108479.6683,8590.3,605.2,15538
KING UN Equity,King Digital Entertainment Plc,US,Information Technology,17.88,17.93,-445.096,566.729,1022.608,1381.461,618.857,580.434,33.7376,68.6542,2104.349,14.141,29.51,5641.8832,734.837,#N/A N/A,-920.302
MRK UN Equity,Merck & Co Inc,US,Health Care,52.82,50.67,-5190,10782,45679,101232,7010,5730,16.0593,62.6984,39765,#N/A N/A,26.176,147554.9525,12774,667,14578
MMM UN Equity,3M Co,US,Industrials,150.64,151,-2477,4974,12224,33258,6265,4760,23.1569,49.2328,30695,-159,22.142,92750.999,8496,136,9482
BAC UN Equity,Bank of America Corp,US,Financials,16.83,14.14,-3561,14510,255905,2153006,26884,25908,26.9536,#N/A N/A,92607,#N/A N/A,29.055,175242.0299,#N/A N/A,10169,161704
PFE UN Equity,Pfizer Inc,US,Health Care,32.28,30.49,-6850,8361,67124,170867,15191,14051,25.3287,81.3489,47922,#N/A N/A,26.207,199264.503,17202,1218,18239
PG UN Equity,Procter & Gamble Co/The,US,Consumer Staples,79.41,81.69,-7346,7383,62954,129265,14513,11055,16.2054,48.5332,69742,82,17.79,216040.6824,14373,595,17881
BKU UN Equity,BankUnited Inc,US,Financials,36.06,33.7,-88.592,232.856,2210.568,22537.671,115.593,89.685,33.8532,#N/A N/A,930.659,#N/A N/A,26.167,3733.0909,#N/A N/A,124.482,3817.535
T UN Equity,AT&T Inc,US,Telecommunication Services,34.41,36.06,-9693,5308,122789,399989,32440,14714,8.4265,52.6513,139121,-929,16.412,211690.32,31829,3833,120728
SPB UN Equity,Spectrum Brands Holdings Inc,US,Consumer Staples,101.8,95.04,-70.7,149,1606.8,7298,444.3,355.2,10.1079,35.6153,4690.4,#N/A N/A,20.244,6040.1658,644.1,271.9,3723.1
TRV UN Equity,Travelers Cos Inc/The,US,Financials,112.86,107.04,-737,3585,24033,102110,3199,3199,19.9205,#N/A N/A,26912,#N/A N/A,18.67,34334.135,#N/A N/A,370,6399
CIE UN Equity,Cobalt International Energy Inc,US,Energy,5.4,3.79,0,-424.155,1926.389,4638.436,-153.831,-636.337,#N/A N/A,#N/A N/A,0,#N/A N/A,55.083,2238.4816,-257.786,74.702,656.702
TKR UN Equity,Timken Co/The,US,Industrials,28.59,26.55,-87.8,6.8,1351.6,2946.6,361.8,257,1.4794,28.2114,2920.1,2.4,32.568,2372.7857,174.6,32,569.6
UTX UN Equity,United Technologies Corp,US,Industrials,96.07,87.69,-2153,5803,32183,92135,6358,4808,15.9463,28.3443,58421,-274,21.25,85216.1012,11164,1083,17190
WMT UN Equity,Wal-Mart Stores Inc,US,Consumer Staples,61.3,66.36,-6274,15086,82630,205144,28099,15945,5.2501,24.9837,484028,-245,26.297,196276.0599,34727,2606,45472
CSCO UW Equity,Cisco Systems Inc,US,Information Technology,27.155,23.79,-4181,9583,59985,111773,12827,11623,23.2005,60.8492,49598,-505,24.443,137840.928,13860,586,-34486
INTC UW Equity,Intel Corp,US,Information Technology,34.45,31.02,-4492,11468,58002,98552,19361,12220,25.6626,62.9238,55162,-453,24.097,162569.55,22895,264,-5273
MSFT UW Equity,Microsoft Corp,US,Information Technology,55.48,55.09,-10050,12273,77445,172896,29351,23333,19.9542,64.7723,90758,1205,28.676,443169.418,24100,869,-60788
P UN Equity,Pandora Media Inc,US,Information Technology,13.41,9.72,0,-137.974,522.658,820.743,53.996,20.103,-12.5787,39.9891,1095.886,-66.717,94.061,2861.9241,-118.447,#N/A N/A,-363.595
C UN Equity,Citigroup Inc,US,Financials,51.75,42.58,-1028,13403,222137,1808356,51679,48295,24.4135,#N/A N/A,87976,#N/A N/A,27.845,154162.7573,37205,12179,136650
OA UN Equity,Orbital ATK Inc,US,Industrials,89.34,90.23,-51.433,160.932,1906.211,5410.648,416.793,279.714,7.8791,22.7601,4485.76,-2.027,27.409,5255.7623,507.469,81.627,1471.913
AIG UN Equity,American International Group Inc,US,Financials,61.97,56.48,-860,4692,99619,501985,2884,2884,13.7966,#N/A N/A,59906,#N/A N/A,24.249,76657.6616,#N/A N/A,1323,29150
HON UN Equity,Honeywell International Inc,US,Industrials,103.57,103.2,-1670,4530,18167,46625,5257,4158,16.3,29.5098,38865,409,23.987,79820.5089,7222,#N/A N/A,204
ATO UN Equity,Atmos Energy Corp,US,Utilities,63.04,69.22,-160.018,315.075,3194.797,9092.945,836.519,-138.613,15.2432,40.5592,4142.136,48.24,19.462,6433.3111,906.191,116.241,2884.662
MO UN Equity,Altria Group Inc,US,Consumer Staples,58.21,61.11,-4099,5238,2916,31999,5693,5484,44.3377,58.8056,18738,-9,20.469,114131.1504,8517,#N/A N/A,11014
BOH UN Equity,Bank of Hawaii Corp,US,Financials,62.9,59.93,-78.593,159.063,1098.354,15164.123,245.379,231.25,40.3801,#N/A N/A,614.18,#N/A N/A,23.539,2723.0382,#N/A N/A,37.834,424.315
LEA UN Equity,Lear Corp,US,Consumer Discretionary,122.83,103.83,-75.7,772,2924.8,9638.7,1202.1,730.5,6.1287,9.5423,18036.5,-186.4,25.239,9249.3852,1441.1,86.7,1056.7
WLK UN Equity,Westlake Chemical Corp,US,Materials,54.32,45.48,-89.818,717.684,3519.838,5524.405,1097.552,648.395,23.4381,28.4416,4612.441,82.043,38.187,7097.027,1321.39,35.93,-483.565
IP UN Equity,International Paper Co,US,Materials,37.7,34.21,-672,894,4470,31981,2734,1331,8.1872,22.3005,22865,-49,27.161,15629.1731,3198,646,8536
CBT UN Equity,Cabot Corp,US,Materials,40.88,40.34,-83,-334,1338,3075,499,358,-11.0414,20.3762,2871,154,38.615,2557.7376,-134,53,943
ENH UN Equity,Endurance Specialty Holdings Ltd,US,Financials,63.99,61.93,-102.685,287.636,5056.344,14028.835,140.06,115.113,20.3707,#N/A N/A,2022.776,#N/A N/A,17.796,4263.1321,#N/A N/A,39.503,-327.85
CSL UN Equity,Carlisle Cos Inc,US,Industrials,88.69,83.68,-68.9,290.9,2364.1,4075.6,484.1,410.7,13.4568,27.4689,3457,26.1,25.826,5765.3291,588.8,35,394.2
ABT UN Equity,Abbott Laboratories,US,Health Care,44.91,37.85,-1418,4561,21219,41725,3376,2227,14.0038,56.8464,20573,-173,26.137,66993.1384,4382,165,2216
PGRE UN Equity,Paramount Group Inc,US,Financials,18.1,16.4,#N/A N/A,#N/A N/A,5534.866,8986.806,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19.054,3839.2261,#N/A N/A,#N/A N/A,2435.64
AFL UN Equity,Aflac Inc,US,Financials,59.9,57.96,-657,2506,17255,117455,6743,6743,19.5994,#N/A N/A,21067,#N/A N/A,21.07,25561.6468,#N/A N/A,303,1489
APD UN Equity,Air Products & Chemicals Inc,US,Materials,130.11,126.71,-677.5,1277.9,7381.1,17438.1,2437.8,1012.1,17.1967,29.8356,9894.9,-29.7,22.306,28037.3967,2638,103.5,5672.6
ARG UN Equity,Airgas Inc,US,Materials,138.32,140,-171.09,367.191,1917.121,6163.938,747.78,229.881,11.8171,55.7605,5357.822,5.916,49.071,9968.6348,974.807,#N/A N/A,2705.496
CHTR UW Equity,Charter Communications Inc,US,Consumer Discretionary,202.499,189.516,0,-197,60,36873,2378,543,11.1227,37.9192,9602,-22,30.282,20512.3114,3182,#N/A N/A,33281
AEP UN Equity,American Electric Power Co Inc,US,Utilities,58.27,60.97,-1046,1769.2,17709,61099,4798.9,221.1,19.6895,62.2067,16774.4,-166.3,20.961,28599.9307,5441.5,881.7,19715
CCK UN Equity,Crown Holdings Inc,US,Materials,50.7,45.88,0,340,433,10229,1218,899,9.411,15.3577,8862,204,25.378,7068.1769,1063,267,5345
HES UN Equity,Hess Corp,US,Energy,48.48,42.5,-286,-1243,22363,36456,2506,-2482,-18.0723,52.3643,7719,#N/A N/A,43.049,13869.9922,2452,337,3539
APC UN Equity,Anadarko Petroleum Corp,US,Energy,48.58,39.09,-552,-5840,17052,49182,-182,-7262,-66.7183,13.8351,10336,22,45.238,24685.5753,-2100,815,13853
GRA UN Equity,WR Grace & Co,US,Materials,79.9293,65.2821,0,139.4,257.4,3707.5,83.5,-69.3,13.8067,37.6447,2773.3,-4.8,22.338,7034.8225,508.9,99.3,1884.7
AON UN Equity,Aon PLC,US,Financials,92.21,87.83,-312,1260,5942,27206,2166,1864,15.1031,#N/A N/A,11693,-13,21.186,25257.8718,2320,272,5343
APA UN Equity,Apache Corp,US,Energy,44.47,42.54,-377,-20720,11972,27812,4655,-2906,-307.5777,10.917,7786,741,52.71,16810.2911,-19766,508,7122
DCI UN Equity,Donaldson Co Inc,US,Industrials,28.66,28.18,-90.85,190.562,739.6,1800.1,221.446,133.165,11.5286,33.6261,2311.846,#N/A N/A,26.11,3801.7501,341.337,16.6,428.1
ADM UN Equity,Archer-Daniels-Midland Co,US,Consumer Staples,36.68,35.35,-674,1832,17878,40877,1636,522,3.1476,6.3838,72151,-37,28.757,21888.4184,3177,321,5209
GAS UN Equity,AGL Resources Inc,US,Utilities,63.81,63.56,-241,394,3910,14206,1191,220,18.4448,53.255,4424,67,6.692,7672.5104,1208,172,4442
JAH UN Equity,Jarden Corp,US,Consumer Discretionary,57.12,53.05,0,228.7,3580.2,12875.5,447.5,248.1,6.6999,31.3669,8431.5,-83,31.755,12586.6207,774,217.3,4762.6
ADP UW Equity,Automatic Data Processing Inc,US,Information Technology,84.72,83.09,-926.8,1493.9,4630.2,34380.3,1620.6,1442.7,18.4476,41.2336,11094.1,-445.7,21.416,39073.4261,2348,9.4,-1238
AZO UN Equity,AutoZone Inc,US,Consumer Discretionary,741.91,767.39,0,1160.241,-1701.39,8102.349,1525.123,1043.735,19.1714,52.2907,10187.34,-36.466,21.445,22411.8438,2222.971,#N/A N/A,4490.095
AVY UN Equity,Avery Dennison Corp,US,Materials,62.66,60.89,-131.3,287.5,1055.3,4248.9,441.3,304.6,8.8362,27.2785,6116.9,#N/A N/A,23.457,5708.4679,736.4,62.2,881.9
AVP UN Equity,Avon Products Inc,US,Consumer Staples,4.05,3.39,-109.1,-1135.1,-768.4,3774.7,-58.3,-163,3.4527,60.9555,7298.6,-181,96.656,1763.3634,414.8,116.6,1726.1
BHI UN Equity,Baker Hughes Inc,US,Energy,46.15,43.51,-296,-273,17505,25416,2461,1207,-0.0211,12.901,18983,1740,44.754,20125.3998,1790,#N/A N/A,2009
GMT UN Equity,GATX Corp,US,Industrials,42.55,40.98,-66.8,205.6,1269,6904.7,475.9,-514.3,24.0391,39.0873,1472.6,#N/A N/A,30.2,1804.1201,656.5,#N/A N/A,4182.5
BLL UN Equity,Ball Corp,US,Materials,72.73,66.83,-71.7,301.9,1243.4,7727,959,461.9,7.4556,18.9843,8224.7,#N/A N/A,27.472,9914.693,895.6,145.5,2917.9
ITC UN Equity,ITC Holdings Corp,US,Utilities,39.25,39.9,-105.013,251.277,1681.864,7405.599,526.888,-116.768,54.8122,#N/A N/A,1051.831,-12.335,28.055,6021.6954,716.862,198.215,4380.038
MRD UW Equity,Memorial Resource Development Corp,US,Energy,16.15,15.91,0,242.162,1396.614,4617.268,549.23,-421.211,0.9522,25.0302,1100.005,18.241,45.796,3315.8284,389.012,#N/A N/A,2596.901
KEYS UN Equity,Keysight Technologies Inc,US,Information Technology,28.33,23.4,0,513,1302,3508,376,284,15.091,55.7423,2856,-20,25.706,4840.1958,530,46,616
ALNY UW Equity,Alnylam Pharmaceuticals Inc,US,Health Care,94.14,68.94,0,-220.741,1321.604,1436.144,-172.711,-186.088,-432.9158,#N/A N/A,57.565,#N/A N/A,64.087,7977.0198,-231.886,#N/A N/A,-1336.274
GGG UN Equity,Graco Inc,US,Industrials,72.07,72.68,-69.013,341.21,636.492,1387.399,206.083,171.871,23.3251,53.492,1266.933,-16.12,26.374,4029.6498,336.694,18.356,332.33
BK UN Equity,Bank of New York Mellon Corp/The,US,Financials,41.22,36.22,-841,3182,39199,377371,5103,4480,28.4422,#N/A N/A,15473,#N/A N/A,27.12,45051.5077,#N/A N/A,316,-84953
BCR UN Equity,CR Bard Inc,US,Health Care,189.44,183.27,-68.4,129,1478.2,4972.4,802.9,687,24.9795,61.8831,3412.4,-12.7,23.974,13996.9815,1041.8,44.9,397.4
BAX UN Equity,Baxter International Inc,US,Health Care,38.15,36.6,-1129,1716,7845,20172,2066,1051,6.9997,44.7632,11572,-39,23.273,20868.7253,1543,149,603
CSRA UN Equity,CSRA Inc,US,Information Technology,30,26.78,#N/A N/A,#N/A N/A,888.014,1913.456,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4917.9483,#N/A N/A,#N/A N/A,141.657
TPX UN Equity,Tempur Sealy International Inc,US,Consumer Discretionary,70.46,60.34,0,131.4,313.6,2739.4,177.5,109.2,9.3884,39.3015,3129.4,#N/A N/A,32.114,4385.1486,375.4,#N/A N/A,1414.5
HE UN Equity,Hawaiian Electric Industries Inc,US,Utilities,28.95,29.92,-132.126,150.81,1955.294,11573.466,411.322,-33.59,11.1051,49.2211,2768.99,60.28,19.059,3110.9277,506.697,72.319,1022.199
BDX UN Equity,Becton Dickinson and Co,US,Health Care,154.09,145.37,-485,695,7164,26820,1730,1134,10.4562,45.8029,10281,#N/A N/A,21.236,32692.619,1966,376,11378
BMS UN Equity,Bemis Co Inc,US,Materials,44.69,47.87,-109,241.6,1243.3,3447.9,468.6,248.2,9.9218,20.9832,4141.4,#N/A N/A,22.596,4289.0361,570.6,51.4,1221.4
RAD UN Equity,Rite Aid Corp,US,Consumer Staples,7.84,7.79,0,1981.547,429.703,11979.231,628.3,123.422,2.8061,27.5055,27852.599,-18.224,71.325,8204.2729,1230.956,434.859,7291.666
BRK/B UN Equity,Berkshire Hathaway Inc,US,Financials,132.04,129.77,0,22760,251321,545468,32008,15192,17.9383,25.0791,207260,#N/A N/A,21.163,325274.6346,44914,3773,-161714
BBY UN Equity,Best Buy Co Inc,US,Consumer Discretionary,30.45,27.93,-487,937,4650,15175,1624,995,3.525,23.0992,40114,-27,30.573,10435.8157,2080,82,-1708
HUBB UN Equity,Hubbell Inc,US,Industrials,101.04,90.43,-129.8,296.2,1953.6,3382.5,338.4,268.4,14.3364,32.3303,3409.5,10.1,25.605,5839.8915,572.6,#N/A N/A,154.6
KSU UN Equity,Kansas City Southern,US,Industrials,74.67,70.88,-134.9,485,4184.3,8322.5,895.4,-35,32.428,#N/A N/A,2463.3,13.2,38.121,8149.2189,1076.8,76.5,2228.2
HRB UN Equity,H&R Block Inc,US,Consumer Discretionary,33.31,34.05,-220.171,490.236,1669.427,3632.691,629.947,523.941,25.8149,47.0455,3082.79,#N/A N/A,28.122,7859.4934,962.031,39.881,-1199.746
IT UN Equity,Gartner Inc,US,Information Technology,90.7,87.89,0,169.016,-159.589,2091.542,337.477,288.44,13.418,61.1208,2103.267,-56.744,20.438,7515.0952,324.662,#N/A N/A,468.756
BSX UN Equity,Boston Scientific Corp,US,Health Care,18.44,17.53,0,-396,6410,18215,711,470,-7.433,70.769,7386,#N/A N/A,31.113,24805.3971,203,278,5509
IEX UN Equity,IDEX Corp,US,Industrials,76.61,72.51,-93.874,276.664,1428.593,2870.362,363.159,316.371,20.9282,44.5054,2044.769,8.867,20.241,5862.0906,504.532,41.982,546.769
BMY UN Equity,Bristol-Myers Squibb Co,US,Health Care,68.79,62.16,-2457,1775,15273,31779,1793,1067,16.3995,76.2688,16531,-772,27.889,114761.4199,3114,194,-2766
INT UN Equity,World Fuel Services Corp,US,Energy,38.46,38.95,-13.7,202.2,1875.8,4972.9,171.8,122.3,0.7494,2.5488,33427.4,#N/A N/A,35.282,2722.1988,313,34.3,274.8
BF/B UN Equity,Brown-Forman Corp,US,Consumer Staples,99.28,97.84,-259,690,1707,4334,643,514,33.0457,69.6708,3129,#N/A N/A,20.979,20905.2002,1085,30,998
COG UN Equity,Cabot Oil & Gas Corp,US,Energy,17.69,20.75,-33.072,-224.538,2121.737,5484.672,798.431,-536.299,-29.9709,22.0845,1632.82,70.605,50.083,7321.4428,156.729,95.715,2028.227
CPB UN Equity,Campbell Soup Co,US,Consumer Staples,52.55,56.41,-393,663,1410,8304,1212,823,13.2628,34.7696,8030,3,20.112,16292.1294,1367,111,3833
GXP UN Equity,Great Plains Energy Inc,US,Utilities,27.31,27.88,-152.7,208.4,3709.9,10844.1,743.5,-1.1,20.7047,74.2264,2491.7,41.2,22.11,4215.8271,867.2,195.5,4094.7
CCL UN Equity,Carnival Corp,US,Consumer Discretionary,54.48,48.13,-778,1383,24353,38797,4204,1594,14.82,38.1313,15722,#N/A N/A,29.002,42946.148,3945,243,7321
KMT UN Equity,Kennametal Inc,US,Industrials,19.2,17.7,-58.682,-419.611,1339.089,2752.04,347.592,240.238,-16.4391,29.475,2507.608,55.844,55.952,1528.477,-283.378,30.236,653.634
CTL UN Equity,CenturyLink Inc,US,Telecommunication Services,25.16,25.42,-1209,728,14250,48754,5207,2234,13.0836,56.1247,17862,-143,30.043,13812.946,6604,1314,20059
9876566D UN Equity,Chubb Corp/The,US,Financials,132.64,127.26,-500,2028,16371,51192,2191,2132,19.8251,#N/A N/A,13947,#N/A N/A,10.541,30116.6916,#N/A N/A,#N/A N/A,3247
CI UN Equity,Cigna Corp,US,Health Care,146.33,133.6,0,2135,11854,56909,2314,1834,8.9938,32.8255,37148,-1257,26.138,37694.5955,3945,259,1115
FTR UW Equity,Frontier Communications Corp,US,Telecommunication Services,4.67,4.55,-500.247,-146.054,5855,27365,1289.006,445.202,13.3898,88.7279,5493.305,-19.439,39.059,5455.5502,2059.718,937.561,15102
CLX UN Equity,Clorox Co/The,US,Consumer Staples,126.83,129.05,-389,662,119,4095,778,654,18.391,44.1244,5693,-42,17.392,16372.6216,1214,97,1844
CMS UN Equity,CMS Energy Corp,US,Utilities,36.08,38.88,-316,513,3939,19452,1905,278,17.7629,51.305,6705,77,19.576,10025.8974,1937,407,8621
NFG UN Equity,National Fuel Gas Co,US,Utilities,42.75,45.33,-130.719,-379.428,2025.44,6702.139,853.58,-164.599,-34.701,80.1248,1760.913,51.638,29.48,3618.1033,-274.896,98.68,1970.413
TRI UN Equity,Thomson Reuters Corp,US,Consumer Discretionary,37.85,37.4,-1023,1993,13271,29048,2646,1652,20.9561,#N/A N/A,12049,#N/A N/A,19.223,29058.4573,4236,363,7783
CCE UN Equity,Coca-Cola European Partners PLC,US,Consumer Staples,49.24,46.42,-254,552,1007,8015,1180,827,12.1544,36.121,7306,#N/A N/A,22.353,11175.1298,1174,122,3809
CL UN Equity,Colgate-Palmolive Co,US,Consumer Staples,66.62,67.53,-1489,2470,590,13563,3014,2291,23.9851,58.5779,16356,-59,20.109,59752.9475,4373,#N/A N/A,5199
BAH UN Equity,Booz Allen Hamilton Holding Corp,US,Information Technology,30.85,28.29,-77.777,216.692,268.984,2874.625,198.116,141.444,8.1328,51.5989,5321.39,-26.146,26.986,4579.6443,493.863,70.326,1414.568
CMA UN Equity,Comerica Inc,US,Financials,41.83,34.3,-145,548,7622,71012,737,627,30.3779,#N/A N/A,2767,#N/A N/A,31.498,7392.8174,#N/A N/A,94,-4098
AL UN Equity,Air Lease Corp,US,Industrials,33.48,25.76,-15.374,242.623,2939.448,11911.694,784.403,-2139.268,53.438,#N/A N/A,1182.087,0,33.446,3400.9544,1014.065,226.197,7378.518
OGE UN Equity,OGE Energy Corp,US,Utilities,26.29,26.23,-199.5,300.3,3353.4,9617.8,869.7,362.8,22.8251,59.609,2276,17,23.532,5250.1807,823.7,148.3,2712.2
CA UW Equity,CA Inc,US,Information Technology,28.56,28.73,-442,759,5702,10893,1018,976,26.6602,85.1563,4096,47,22.499,12530.4629,1467,#N/A N/A,-801
CSC UN Equity,Computer Sciences Corp,US,Information Technology,32.68,32.07,-129,22,3046,10013,1384,1020,-2.0424,22.5535,10331,#N/A N/A,45.924,4535.458,652,138,792
CAG UN Equity,ConAgra Foods Inc,US,Consumer Staples,42.16,41.64,-426.8,-1889,3444.4,15834.3,1313.8,902.1,10.7509,23.8816,12942.2,50.5,27.306,18251.5359,1820.2,333.3,7755.7
ED UN Equity,Consolidated Edison Inc,US,Utilities,64.27,69.39,-746,1098,13049,44971,3279,267,17.971,67.8921,12676,-3,20.272,18843.4666,3393,641,13351
SCI UN Equity,Service Corp International/US,US,Consumer Discretionary,26.02,24.19,-82.559,249.212,1187.504,11653.121,457.752,303.703,20.4479,23.044,3000.44,0.118,25.166,5113.0809,844.014,172.734,2999.509
ZG UW Equity,Zillow Group Inc,US,Information Technology,26.04,21.67,0,-134.051,2673.441,3162.449,50.75,0.043,-23.6782,90.2519,567.636,-1.729,37.004,4322.5808,-70.46,#N/A N/A,-306.759
AFG UN Equity,American Financial Group Inc/OH,US,Financials,72.08,70.98,-173,350,4906,50557,1455,1377,10.2589,#N/A N/A,6063,#N/A N/A,16.007,6296.1235,#N/A N/A,77,-14
GLW UN Equity,Corning Inc,US,Information Technology,18.28,18.61,-671,2007,20070,28898,2957,1682,19.0758,40.8445,9284,99,30.405,21624.9566,2951,133,-997
VNTV UN Equity,Vantiv Inc,US,Information Technology,47.42,47.05,0,165.596,1288.931,6110.16,636.665,546.126,13.3419,53.6173,3041.389,-49.637,26.14,9068.4692,682.77,#N/A N/A,2852.474
PVH UN Equity,PVH Corp,US,Consumer Discretionary,73.65,73.38,-12.5,493.5,4409.8,10745,941.9,687.9,7.6692,52.5344,8045.2,90.1,40.677,6035.3301,864.6,126.5,2915.3
CMI UN Equity,Cummins Inc,US,Industrials,88.01,89.89,-594,1682,8081,15797,2009,1282,12.3958,25.7693,19434,-16,32.074,15632.4486,2917,64,-70
DHR UN Equity,Danaher Corp,US,Industrials,92.88,86.65,-331.9,3330.4,23183.8,49707.9,3809.6,3209.9,16.7115,52.4575,20069.4,-7.6,21.574,63649.3023,4352.3,130.1,13178.5
